IssuerID,State,Plan_Type,Global_rate_cleaned,Global_score_cleaned,S1_rate,S1_score,S2_rate,S2_score,S3_rate,S3_score,S1M49_den,S1M49_elig,S1M49_rate,S1M49_score,S1M2_den,S1M2_elig,S1M2_rate,S1M2_score,S1M52_den,S1M52_elig,S1M52_rate,S1M52_score,S1M55_den,S1M55_elig,S1M55_rate,S1M55_score,S1M6_den,S1M6_elig,S1M6_rate,S1M6_score,S1M7_den,S1M7_elig,S1M7_rate,S1M7_score,S1M8_den,S1M8_elig,S1M8_rate,S1M8_score,S1M9_den,S1M9_elig,S1M9_rate,S1M9_score,S1M54_den,S1M54_elig,S1M54_rate,S1M54_score,S1M13_den,S1M13_elig,S1M13_rate,S1M13_score,S1M15_den,S1M15_rate,S1M15_score,S1M48_den,S1M48_elig,S1M48_rate,S1M48_score,S1M50_den,S1M50_elig,S1M50_rate,S1M50_score,S1M17_den,S1M17_elig,S1M17_rate,S1M17_score,S1M18_den,S1M18_elig,S1M18_rate,S1M18_score,S1M19_den,S1M19_elig,S1M19_rate,S1M19_score,S1M20_den,S1M20_elig,S1M20_rate,S1M20_score,S1M23_den,S1M23_elig,S1M23_rate,S1M23_score,S1M25_den,S1M25_elig,S1M25_rate,S1M25_score,S1M53_den,S1M53_elig,S1M53_rate,S1M53_score,S1M47_den,S1M47_elig,S1M47_rate,S1M47_score,S1M30_den,S1M30_elig,S1M30_rate,S1M30_score,S1M31_den,S1M31_elig,S1M31_rate,S1M31_score,S1M51_den,S1M51_elig,S1M51_rate,S1M51_score,S2M33_den,S2M33_elig,S2M33_rate,S2M33_score,S2M34_den,S2M34_elig,S2M34_rate,S2M34_score,S2M36_den,S2M36_elig,S2M36_rate,S2M36_score,S2M37_den,S2M37_elig,S2M37_rate,S2M37_score,S2M38_den,S2M38_elig,S2M38_rate,S2M38_score,S3M40_den,S3M40_elig,S3M40_rate,S3M40_score,S3M41_den,S3M41_elig,S3M41_rate,S3M41_score,S3M42_den,S3M42_elig,S3M42_rate,S3M42_score,S3M43_den,S3M43_elig,S3M43_rate,S3M43_score,S3M44_den,S3M44_elig,S3M44_rate,S3M44_score,S3M45_den,S3M45_elig,S3M45_rate,S3M45_score
10091,OR,PPO,4,85.722,4,82.56,4,89.013,5,95.077,95,95,0.7368421,79.659,338,338,0.7233728,93.58,26,26,0.7115385,NC,212,212,0.2759434,72.236,395,1335,0.643038,82.973,1772,1772,0.8086907,97.904,1669,1669,0.8208508,96.913,410,684,0.5829268,83.156,685,685,0.4905109,68.316,601,601,0.8202995,102.282,299,0.4454641,109.825,18,18,0.5555556,NC,240,240,0.5333333,59.372,392,7144,0.6428571,86.174,388,6312,0.6134021,85.791,94,96,0.9574468,103.284,94,96,0.8191489,85.417,315,315,0.368254,56.567,11,11,0.2727273,NC,56,56,0.5178571,82.33,88,88,0.2954545,55.537,398,1014,0.6088777,68.49,94,94,0.8085106,90.742,1855,1855,0.5008086,73.218,158,1295,61.8311885,79.53,130,1295,81.5287788,92.646,134,1295,77.7159094,90.525,116,1295,85.5914629,93.351,97,1295,84.5169578,NC,736,736,0.8858696,97.563,181,181,0.5966851,97.657,484,484,0.8285124,94.364,142,1295,54.3642671,89.204,105,1295,77.7564607,99.462,171,1295,74.306464,92.211
10207,VA,HMO,4,87.973,4,89.855,CSR-I,CSR-I,4,80.447,55,55,0.8909091,96.314,69,69,0.7753624,100.306,13,13,0.3846154,NC,58,58,0.4137931,108.323,398,431,0.6507538,83.968,533,533,0.8292683,100.396,661,661,0.8184569,96.63,304,304,0.4934211,70.388,303,303,0.4950495,68.948,282,282,0.7624113,95.064,119,1.0127095,NC,5,5,0.4,NC,49,49,0.1428571,109.051,354,1845,0.6779661,90.88,384,1298,0.6171875,86.32,41,41,0.6829268,73.671,41,41,0.8536585,89.015,92,92,0.4347826,66.787,9,9,0.6296296,NC,37,37,0.5405405,85.936,34,34,0.4705882,88.456,403,565,0.6708023,75.456,56,56,0.9107143,102.213,805,805,0.7453416,108.968,106,1295,69.9197603,89.934,90,1295,80.1791851,NC,97,1295,80.1474671,NC,85,1295,87.4944568,NC,67,1295,85.9084534,NC,360,360,0.775,85.352,76,76,0.3421053,55.991,127,127,0.7559055,86.094,98,1295,46.1500802,NC,76,1295,63.6759651,NC,109,1295,76.029127,94.349
11177,NY,HMO,4,84.818,4,85.458,CSR-I,CSR-I,4,82.26,73,73,0.9041096,97.742,55,55,0.6727273,87.028,11,11,0.9090909,NC,79,79,0.278481,72.901,411,1259,0.7128954,91.987,1184,1184,0.7255068,87.834,1475,1475,0.7016949,82.845,411,847,0.6326034,90.243,851,851,0.3877791,54.008,727,727,0.7235213,90.215,114,0.7080022,NC,10,10,0.5,NC,13,13,0.3846154,NC,411,3797,0.6277372,84.147,411,2922,0.5985401,83.712,33,33,0.9090909,98.068,33,33,0.9393939,97.956,73,73,0.6849315,105.212,19,19,0.4912281,NC,3,3,0.6666667,NC,0,0,NR,NC,35,35,0.6857143,77.133,3,3,1,NC,161,161,0.4534161,66.289,92,1293,61.862406,NC,76,1293,79.7354074,NC,80,1293,77.558421,NC,70,1293,86.1799007,NC,52,1293,84.8015332,NC,340,340,0.7705882,84.867,59,59,0.4067797,66.576,160,160,0.81875,93.252,94,1293,52.2631807,NC,85,1293,65.2812605,NC,102,1293,67.9688095,84.346
11269,WY,PPO,2,69.809,1,58.594,5,97.131,4,87.354,230,230,0.7565217,81.786,281,281,0.7206406,93.226,44,44,0.5568182,83.481,259,259,0.2837838,74.289,411,1381,0.4549878,58.708,2256,2256,0.7615248,92.194,1812,1812,0.8013245,94.607,411,1219,0.3065693,43.733,1217,1217,0.1479047,20.6,910,910,0.7725275,96.325,505,0.6837516,61.589,43,43,0.4651163,55.836,295,295,0.6033898,50.459,6661,6661,0.404744,54.255,5612,5612,0.3645759,50.99,200,201,0.61,65.804,200,201,0.565,58.916,386,386,0.2823834,43.377,33,33,0.4747475,67.821,125,125,0.08,12.719,150,150,0.1266667,23.81,1642,1642,0.0657734,7.399,203,203,0.5862069,65.792,3118,3118,0.3319436,48.53,157,1291,76.9815928,99.017,124,1291,84.8410572,96.41,134,1291,83.0010381,96.681,112,1291,88.4014042,96.415,79,1291,84.905547,NC,1154,1154,0.7963605,87.705,309,309,0.4174757,68.327,526,526,0.7547529,85.963,130,1291,56.8580383,93.296,103,1291,73.9474121,94.59,168,1291,75.9456396,94.245
11512,NC,EPO,4,81.394,4,80.488,CSR-I,CSR-I,4,85.018,1014,1014,0.8767258,94.781,2535,2535,0.7033531,90.99,572,572,0.4256993,63.823,2044,2044,0.2311644,60.514,354,18478,0.7316384,94.405,20958,20958,0.7722111,93.488,20475,20475,0.7553114,89.175,411,11685,0.4111922,58.658,11723,11723,0.4600358,64.072,10185,10185,0.7555228,94.205,3760,0.5763,83.34,204,204,0.622549,74.736,1521,1521,0.4733728,67.001,407,58073,0.5896806,79.046,388,44774,0.6417526,89.756,366,988,0.931694,100.506,366,988,0.9071038,94.589,3325,3325,0.4959398,76.181,5,5,0.3333333,NC,411,598,0.4403893,70.014,411,705,0.2287105,42.991,411,11127,0.7899432,88.858,970,970,0.8443299,94.762,19463,19463,0.5836716,85.332,88,1295,70.6981848,NC,76,1295,84.3910757,NC,76,1295,81.7222915,NC,71,1295,89.2764894,NC,50,1295,86.6967998,NC,3618,3618,0.8413488,92.66,595,595,0.5109244,83.621,3567,3567,0.6916176,78.772,81,1295,51.1169417,NC,63,1295,70.1923282,NC,93,1295,70.3884712,NC
11512,NC,POS,3,78.534,3,77.593,CSR-I,CSR-I,4,82.302,430,430,0.8837209,95.537,1599,1599,0.6844903,88.55,276,276,0.3894928,58.395,1214,1214,0.2854201,74.717,342,9686,0.7046784,90.926,9954,9954,0.7543701,91.328,9171,9171,0.7473558,88.236,411,5583,0.3965937,56.575,5579,5579,0.4291092,59.765,4591,4591,0.7486386,93.346,1928,0.5902657,80.513,64,64,0.5625,67.527,1434,1434,0.3333333,84.818,398,23458,0.6005025,80.496,398,19318,0.6306533,88.203,207,526,0.8743961,94.325,207,526,0.8550725,89.163,1259,1259,0.4162033,63.933,32,32,0.625,89.286,199,199,0.3165829,50.331,247,247,0.1538462,28.918,371,3309,0.7115903,80.044,328,328,0.804878,90.334,5999,5999,0.5264211,76.962,108,1281,74.4694769,95.786,97,1281,87.4929079,NC,98,1281,82.4038548,NC,93,1281,90.5640792,NC,65,1281,88.1400789,NC,7373,7373,0.7969619,87.771,1467,1467,0.4526244,74.079,1607,1607,0.6695706,76.261,102,1281,51.4260128,84.382,75,1281,67.9205771,NC,114,1281,71.7312605,89.015
11512,NC,PPO,3,78.833,3,79.484,CSR-I,CSR-I,3,76.23,1107,1107,0.9006323,97.366,2628,2628,0.6780822,87.721,476,476,0.5010505,75.12,2581,2581,0.2636575,69.02,371,19645,0.7169811,92.514,19682,19682,0.7595773,91.959,17811,17811,0.7466734,88.155,411,10588,0.4525547,64.558,10558,10558,0.3378481,47.054,8610,8610,0.741928,92.51,4354,0.5713007,84.352,200,200,0.62,74.43,2695,2695,0.3640074,80.915,380,48773,0.6,80.429,395,45962,0.6101266,85.332,219,911,0.8493151,91.62,219,911,0.8767123,91.419,2812,2812,0.4260313,65.443,25,25,0.6266667,NC,572,572,0.3688811,58.646,639,639,0.28482,53.538,371,9057,0.7232705,81.358,986,986,0.8356998,93.793,15524,15524,0.5531435,80.869,108,1294,68.6735721,88.331,94,1294,83.4689717,NC,95,1294,78.8703865,NC,93,1294,87.880374,NC,68,1294,85.4755292,NC,7687,7687,0.7417718,81.693,1999,1999,0.3786893,61.979,3307,3307,0.7103115,80.901,103,1294,43.5659007,71.485,76,1294,60.6475339,NC,123,1294,68.5710397,85.094
11574,IL,HMO,0,0.000,CSR-I,CSR-I,CSR-I,CSR-I,4,85.81,9,9,1,NC,24,24,0.7708333,NC,9,9,0.5555556,NC,12,12,0.4166667,NC,189,189,0.5502646,71.002,444,444,0.8153153,98.706,400,400,0.7575,89.433,179,179,0.2122905,30.284,177,177,0.5310734,73.966,215,215,0.8046512,100.331,28,0.9817878,NC,7,7,0.7142857,NC,1,1,1,NC,411,1293,0.3552311,47.618,227,227,0.3788546,52.987,11,11,0.6363636,NC,11,11,0.6363636,NC,51,51,0.4509804,69.275,12,13,0.4444444,NC,2,2,0.5,NC,1,1,1,NC,114,114,0.5994152,67.426,3,3,0.6666667,NC,269,269,0.4832714,70.654,110,1296,66.2199214,85.175,81,1296,82.7565436,NC,89,1296,77.9941161,NC,75,1296,88.7178516,NC,53,1296,81.5069906,NC,97,97,0.8556701,94.237,19,19,0.7894737,NC,35,35,0.6285714,71.591,113,1296,55.026372,90.29,105,1296,67.8551806,86.797,116,1296,69.4118614,86.137
13262,AR,POS,2,61.861,2,60.114,CSR-I,CSR-I,2,68.847,80,80,0.6375,68.919,896,896,0.5055804,65.405,420,420,0.2214286,33.198,1101,1101,0.3079019,80.603,411,1637,0.5109489,65.929,2306,2306,0.6071119,73.5,1644,1644,0.6009732,70.953,411,951,0.3576642,51.022,933,933,0.2015005,28.064,987,987,0.6382979,79.588,968,0.6843995,61.458,23,23,0.5217391,NC,342,342,0.3508772,82.586,411,4418,0.350365,46.966,411,2732,0.2360097,33.008,411,439,0.5085158,54.856,411,439,0.5085158,53.026,898,898,0.5244989,80.568,49,50,0.574263,82.038,8,8,0.375,NC,2,2,0.5,NC,28,28,0.3571429,NC,7,7,0.7142857,NC,2115,2115,0.2085106,30.484,66,1672,78.2715046,NC,54,1672,87.3120767,NC,49,1672,90.6557392,NC,48,1672,91.8557125,NC,37,1672,88.508723,NC,1664,1664,0.6700721,73.796,507,507,0.3668639,60.043,741,741,0.6383266,72.702,64,1672,58.9810943,NC,53,1672,76.0754884,NC,70,1672,85.0716168,NC
13401,PA,EPO,3,76.991,3,77.177,CSR-I,CSR-I,3,76.245,2,2,0.5,NC,49,49,0.7142857,92.404,9,9,0.6111111,NC,32,32,0.453125,110,175,175,0.5714286,73.733,272,272,0.7242647,87.683,285,285,0.6982456,82.437,109,110,0.3669725,52.35,109,109,0.5229358,72.832,118,118,0.6610169,82.421,33,1.1078491,NC,2,2,0,NC,8,8,0.375,NC,411,882,0.4111922,55.12,334,334,0.3323353,46.48,13,13,0.7692308,NC,13,13,0.8461538,NC,31,31,0.516129,79.282,37,37,0.6036036,86.229,5,5,0,NC,1,1,0,NC,52,52,0.75,84.364,5,5,0.4,NC,107,107,0.5140187,75.149,107,1590,65.1661999,83.819,90,1590,86.2145322,NC,94,1590,68.9058068,NC,83,1590,82.3145969,NC,59,1590,84.6293292,NC,64,64,0.671875,73.995,25,25,0.44,NC,30,30,0.8,91.116,103,1590,43.6427197,71.611,97,1590,63.6002674,NC,111,1590,55.002595,68.256
